GEMS;Date;pH;BOD;TP;O2Dis;NO3N;TEMP;FECALCOLI;NO2N;NH4N;TS;TURB
BRA00005;01/01/1979;6.92;1.4;0.19;7.2;0.19;;3.3;0.001;;;
BRA00005;01/02/1979;;;;;;;;;;;
BRA00005;01/03/1979;;;;;;;;;;;
BRA00005;01/04/1979;;;;;;;;;;;
BRA00005;01/05/1979;6.95;2.4;0.06;7.6;0.3;23.0;2.3;0.023;;;
BRA00005;01/06/1979;7.12;2.0;0.12;8.8;0.36;21.5;2.3;0.008;;;
BRA00005;01/07/1979;6.88;1.2;0.03;6.6;0.41;19.0;3.3;0.013;;;
BRA00005;01/08/1979;6.98;1.2;0.07;8.6;0.02;21.5;7.9;0.02;;;
BRA00005;01/09/1979;7.0;1.2;0.08;7.6;0.45;24.0;2.3;;;;
BRA00005;01/10/1979;;;;;;;;;;;
BRA00005;01/11/1979;8.4;1.6;0.08;8.6;0.48;25.0;24.0;0.021;;;
BRA00005;01/12/1979;;;;;;;;;;;
BRA00005;01/01/1980;;;;;;;;;;;
BRA00005;01/02/1980;;;;;;;;;;;
BRA00005;01/03/1980;;;;;;;;;;;
BRA00005;01/04/1980;;;;;;;;;;;
BRA00005;01/05/1980;;;;;;;;;;;
BRA00005;01/06/1980;;;;;;;;;;;
BRA00005;01/07/1980;;;;;;;;;;;
BRA00005;01/08/1980;7.7;1.6;0.08;8.8;0.34;32.5;4.9;0.02;;;
BRA00005;01/09/1980;;;;;;;;;;;
BRA00005;01/10/1980;6.6;1.6;0.07;8.6;0.31;23.0;0.79;0.006;;;
BRA00005;01/11/1980;;;;;;;;;;;
BRA00005;01/12/1980;;;;;;;;;;;
BRA00005;01/01/1981;7.22;2.0;0.16;5.4;0.48;28.0;1.7;;;;
BRA00005;01/02/1981;7.65;0.8;0.02;8.0;0.31;28.5;0.79;;;;
BRA00005;01/03/1981;6.76;0.4;0.12;7.8;0.41;28.5;1.3;;;;
BRA00005;01/04/1981;6.4;1.2;0.51;7.8;0.92;25.0;2.3;;;;
BRA00005;01/05/1981;6.88;0.8;0.037;8.6;0.27;22.0;4.9;;;;
BRA00005;01/06/1981;7.22;0.8;0.05;9.4;0.27;20.0;3.3;;;;
BRA00005;01/07/1981;6.6;0.4;0.05;6.8;0.31;19.5;0.79;;;;
BRA00005;01/08/1981;7.1;1.2;0.135;9.0;0.44;20.5;1.3;;;;
BRA00005;01/09/1981;7.05;0.8;0.077;8.8;0.44;22.0;0.79;0.017;;;
BRA00005;01/10/1981;6.8;0.6;0.099;7.8;1.18;21.5;4.9;0.132;;;
BRA00005;01/11/1981;7.3;1.2;0.1;7.0;0.56;26.5;4.9;0.018;;;
BRA00005;01/12/1981;7.2;4.4;0.136;5.6;0.33;24.5;1.7;0.097;;;
BRA00005;01/01/1982;7.08;2.0;;6.0;;24.0;17.0;;;;
BRA00005;01/02/1982;6.85;0.4;;7.8;;27.0;49.0;;;;
BRA00005;01/03/1982;6.9;0.8;;8.0;;27.0;49.0;;;;
BRA00005;01/04/1982;6.9;0.2;;8.4;;24.0;49.0;;;;
BRA00005;01/05/1982;6.85;0.4;;8.6;;23.0;17.0;;;;
BRA00005;01/06/1982;6.9;1.0;;8.8;;21.0;23.0;;;;
BRA00005;01/07/1982;6.85;0.8;;7.8;;20.5;23.0;;;;
BRA00005;01/08/1982;6.75;2.0;;8.2;;;49.0;;;;
BRA00005;01/09/1982;6.6;1.6;;7.2;;22.0;17.0;;;;
